full_name,repo_url,owner_repo,stars,forks
IDEAL-Refined,https://github.com/Lingyu-Kong/IDEAL-Refined,Lingyu-Kong/IDEAL-Refined,2,0
datamaterials-neighbormodels,https://github.com/jkglasbrenner/datamaterials-neighbormodels,jkglasbrenner/datamaterials-neighbormodels,2,2
pymatcc,https://github.com/damdaepark/pymatcc,damdaepark/pymatcc,2,0
dephasing-code-base,https://github.com/jacopos86/dephasing-code-base,jacopos86/dephasing-code-base,2,0
my_script,https://github.com/JLU-ICCMS-MaYuan/my_script,JLU-ICCMS-MaYuan/my_script,2,0
spacetime-sym,https://github.com/bogdan-tanygin/spacetime-sym,bogdan-tanygin/spacetime-sym,2,0
TLRL,https://github.com/GuptaVishu2002/TLRL,GuptaVishu2002/TLRL,1,0
mkite_db,https://github.com/mkite-group/mkite_db,mkite-group/mkite_db,1,0
e3nn-eform,https://github.com/rpw199912j/e3nn-eform,rpw199912j/e3nn-eform,1,0
WF-RF-Model,https://github.com/d2r2group/WF-RF-Model,d2r2group/WF-RF-Model,1,0
HEA_prediction,https://github.com/nicholasjbeaver/HEA_prediction,nicholasjbeaver/HEA_prediction,1,0
mlcommons-hpc,https://github.com/eth-cscs/mlcommons-hpc,eth-cscs/mlcommons-hpc,1,1
materials-discovery-benchmark,https://github.com/hanfengzhai/materials-discovery-benchmark,hanfengzhai/materials-discovery-benchmark,1,0
openmx-wf,https://github.com/tsaie79/openmx-wf,tsaie79/openmx-wf,1,0
materialsML,https://github.com/andrewrgarcia/materialsML,andrewrgarcia/materialsML,1,0
crystal-viewer,https://github.com/pragmatic-dash/crystal-viewer,pragmatic-dash/crystal-viewer,1,0
XRD-Viewer,https://github.com/LucasEspargueta/XRD-Viewer,LucasEspargueta/XRD-Viewer,1,0
nebmake-mol,https://github.com/ShaneLogic/nebmake-mol,ShaneLogic/nebmake-mol,1,0
ICSDle,https://github.com/TRI-AMDD/ICSDle,TRI-AMDD/ICSDle,1,0
lcaonet,https://github.com/nmdl-mizo/lcaonet,nmdl-mizo/lcaonet,1,0
