full_name,repo_url
materials-analysis-with-machine-learning,https://github.com/adiarai/materials-analysis-with-machine-learning
NLHE_Database,https://github.com/jwzhukevin/NLHE_Database
maml,https://github.com/exalearn/maml
dpdata,https://github.com/exalearn/dpdata
mcp.science,https://github.com/pathintegral-institute/mcp.science
GNN_for_materials_1,https://github.com/NikLaz25/GNN_for_materials_1
fairchem_q,https://github.com/hongmoxian/fairchem_q
SASA_research_2025,https://github.com/hyeincho12/SASA_research_2025
DFTMonteCarlo,https://github.com/yifan-henry-cao/DFTMonteCarlo
xrd-match-web,https://github.com/dshirya/xrd-match-web
TransMA,https://github.com/wklix/TransMA
Lanchoxie_ads_builder,https://github.com/lanchoxie/Lanchoxie_ads_builder
mattermake,https://github.com/anoopkcn/mattermake
MLWaterHarvesting,https://github.com/giuliobarl/MLWaterHarvesting
MaterialsPrediction,https://github.com/Demi0420/MaterialsPrediction
MatGen,https://github.com/rashmiiiii/MatGen
for_evaluation,https://github.com/saiddddd/for_evaluation
SDC,https://github.com/c1375/SDC
topo-metrics,https://github.com/tcnicholas/topo-metrics
XRD-Viewer,https://github.com/LucasEspargueta/XRD-Viewer
binding-pose-metadynamics,https://github.com/MSDLLCpapers/binding-pose-metadynamics
pytheos,https://github.com/jsivak7/pytheos
flexmof-lammps-interface,https://github.com/livaschar/flexmof-lammps-interface
mcp-atomictoolkit,https://github.com/XirtamEsrevni/mcp-atomictoolkit
RxnNet,https://github.com/rasmusfr/RxnNet
xrdlicious,https://github.com/bracerino/xrdlicious
Discovery-of-Magnetic-Materials-through-Artificial-Intelligence-and-Machine-Learning-techniques,https://github.com/Opara19/Discovery-of-Magnetic-Materials-through-Artificial-Intelligence-and-Machine-Learning-techniques
mapidoc,https://github.com/victory2016/mapidoc
esm-rism,https://github.com/minoru-otani/esm-rism
CO2RR-inverse-design,https://github.com/szl666/CO2RR-inverse-design
Chemical_Reaction_Predictor,https://github.com/Tsimech2000/Chemical_Reaction_Predictor
structure-descriptor-visualizer,https://github.com/bracerino/structure-descriptor-visualizer
phonotune,https://github.com/steffen-wedig/phonotune
secs,https://github.com/lamalab-org/secs
AiSuan,https://github.com/Atlantider/AiSuan
LLMD,https://github.com/taokehao/LLMD
MatEnsemble,https://github.com/Q-CAD/MatEnsemble
mof-generation-at-scale,https://github.com/globus-labs/mof-generation-at-scale
BoardProject,https://github.com/Keka17/BoardProject
pyarrow_dataset,https://github.com/Jona210399/pyarrow_dataset
AIRS,https://github.com/divelab/AIRS
gflownet-signal-miner,https://github.com/jefferythewind/gflownet-signal-miner
mlcommons-hpc,https://github.com/eth-cscs/mlcommons-hpc
GNoME,https://github.com/MiguelGamezL/GNoME
nomad-ICSP,https://github.com/ICSP-LKS/nomad-ICSP
code_visualizer,https://github.com/codesbya8h1/code_visualizer
forge,https://github.com/mstapelberg/forge
MyDeepLearningForMat,https://github.com/kingdol666/MyDeepLearningForMat
DTEGNN,https://github.com/IZugec/DTEGNN
all-atom-diffusion-transformer,https://github.com/facebookresearch/all-atom-diffusion-transformer
XRayPro,https://github.com/AI4ChemS/XRayPro
CRYSTAL_input_gen,https://github.com/n-deveaux/CRYSTAL_input_gen
crystalsizer3d,https://github.com/Shape4PPD/crystalsizer3d
SCDM,https://github.com/PhysiLearn/SCDM
B8_project,https://github.com/joeEndacott/B8_project
a2c_ase,https://github.com/abhijeetgangan/a2c_ase
jax-md,https://github.com/hixio-mh/jax-md
MACE,https://github.com/Camgur/MACE
QUBO_GULP,https://github.com/cmc-ucl/QUBO_GULP
molecular_mass_calculator,https://github.com/aqsa5480/molecular_mass_calculator
H-DB,https://github.com/Gyuri39/H-DB
Prompt_optimization_polymer_electrolytes,https://github.com/bhattadeb34/Prompt_optimization_polymer_electrolytes
Cached-DFL,https://github.com/shawnxiaoyuwang/Cached-DFL
CoREMOF_tools,https://github.com/sxm13/CoREMOF_tools
kinetics,https://github.com/ishikawa-group/kinetics
crystopo,https://github.com/Bartel-Group/crystopo
POSFormer,https://github.com/Rasic2/POSFormer
PH-CGCNN,https://github.com/JFLigroup/PH-CGCNN
intelligent-defect-detection,https://github.com/MakkiAloulou/intelligent-defect-detection
ML-MIX,https://github.com/kermodegroup/ML-MIX
ChgcarCompression,https://github.com/VigneshSK17/ChgcarCompression
pynxtools-spm,https://github.com/FAIRmat-NFDI/pynxtools-spm
python-sketches,https://github.com/btklab/python-sketches
OBELiX,https://github.com/NRC-Mila/OBELiX
janus-core,https://github.com/stfc/janus-core
GT4SD,https://github.com/rohanshorey/GT4SD
bandgap-predictor,https://github.com/carloscastau/bandgap-predictor
supertb,https://github.com/sidubois/supertb
materials-modelling,https://github.com/polbeni/materials-modelling
GB-CGCNN,https://github.com/CNMD-POSTECH/GB-CGCNN
XRD-Matcher,https://github.com/OliynykLab/XRD-Matcher
Materials_Informatics,https://github.com/Deersan/Materials_Informatics
MLE5243_A1_NLP,https://github.com/Asher10012/MLE5243_A1_NLP
Operations-Research-Guided-Graph-Neural-Networks-for-Multi-Property-Regression-in-Materials-Science,https://github.com/kaur-manpreet325/Operations-Research-Guided-Graph-Neural-Networks-for-Multi-Property-Regression-in-Materials-Science
Comformer_uv,https://github.com/karan-mudaliar/Comformer_uv
Bugseek,https://github.com/jiazuolong/Bugseek
MolecularCanvas,https://github.com/isaackogan/MolecularCanvas
tsflearning,https://github.com/Ting-Bao/tsflearning
MatFeaLib,https://github.com/MatFeaLib/MatFeaLib
tomographic-interpretation,https://github.com/PV-Lab/tomographic-interpretation
xrdpattern,https://github.com/aimat-lab/xrdpattern
wulfflow,https://github.com/Surface-Tools/wulfflow
thermoelasticity,https://github.com/anilkunwar/thermoelasticity
OpenGLaDOS,https://github.com/QuantumChemist/OpenGLaDOS
MSEN489_HW3,https://github.com/ichasekatz/MSEN489_HW3
materials-discovery-mattersim,https://github.com/xiaodoushabing/materials-discovery-mattersim
appa,https://github.com/lucasdekam/appa
matex,https://github.com/learningmatter-mit/matex
TF-ChPVK-PV,https://github.com/GarzonDiegoFEUP/TF-ChPVK-PV
BMGcalc,https://github.com/Sachinscnpdl/BMGcalc
goldilocks,https://github.com/stfc/goldilocks
Mattergen-Test,https://github.com/clr4takeoff/Mattergen-Test
mattergen,https://github.com/taiyangsu/mattergen
ai_for_semiconductors,https://github.com/msehabibur/ai_for_semiconductors
