full_name,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,language,has_issues,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,default_branch,subscribers_count,uuid,source_name,license,private,contributions_count,has_readme,has_changelog,has_contributing,has_license,has_coc,has_threat_model,has_audit,status,last_synced_at,rank,host_type,host_domain,name,scm,fork_policy,github_id,pull_requests_enabled,logo_url,github_contributions_count,keywords,code_of_conduct_url,contribution_guidelines_url,funding_urls,security_policy_url
materialsproject/pymatgen-analysis-alloys,pymatgen-analysis-alloys is an add-on package for pymatgen intended to contain useful classes for describing alloy systems and analyzing data relevant to these systems.,False,2024-10-09T23:45:11.248Z,2025-09-04T19:15:43.284Z,2025-08-12T23:38:39.000Z,,110.0,15.0,Python,True,True,False,8,,3.0,main,7.0,531671854,,,False,5,README.md,,,,,,,,2025-08-12T23:47:29.003Z,5,GitHub,,pymatgen-analysis-alloys,git,,531671854,,,5,[],https://github.com/materialsproject/.github/blob/main/.github/code_of_conduct.md,,[],
phonopy/spgrep-modulation,Collective atomic modulation analysis with irreducible space-group representation,False,2022-07-18T23:12:29.000Z,2025-03-25T20:39:58.790Z,2025-03-20T06:37:20.000Z,https://phonopy.github.io/spgrep-modulation/,6166.0,15.0,Python,True,True,True,4,,0.0,develop,2.0,515368273,,BSD-3-Clause,False,4,README.md,,,LICENSE,,,,,2025-03-04T10:50:04.170Z,7,GitHub,,spgrep-modulation,git,,515368273,,,4,[],,,[],
OctaDist/OctaDist,A tool for calculating distortion parameters in coordination complexes.,False,2019-01-01T07:35:54.000Z,2024-03-19T13:48:03.389Z,2024-03-19T13:30:08.000Z,https://octadist.github.io,5574.0,15.0,Python,True,True,False,3,,5.0,master,3.0,163721040,,GPL-3.0,False,1,README.md,,,LICENSE,,,,,2024-03-19T13:48:03.388Z,6,GitHub,,,git,,163721040,,,1,"['chemistry', 'computational-chemistry', 'coordination-chemistry', 'crystallography', 'distortion', 'hacktoberfest', 'hacktoberfest2022', 'inorganic-chemistry', 'octahedral-distortion', 'octahedral-distortion-analysis', 'octahedral-distortion-parameters', 'octahedron', 'python', 'python3', 'spin-crossover', 'tkinter-gui']",,,[],
issp-center-dev/abICS,ab-Initio Configuration Sampling tool kit (abICS),False,2019-12-09T07:21:46.000Z,2024-12-06T05:38:02.243Z,2024-12-06T05:36:47.000Z,https://www.pasums.issp.u-tokyo.ac.jp/abics/en,28699.0,15.0,Python,True,True,True,8,,2.0,master,9.0,226809660,,GPL-3.0,False,5,README.md,,,COPYING,,,,,2024-12-06T05:38:02.242Z,6,GitHub,,abICS,git,,226809660,,,5,[],,,[],
materials-data-facility/scythe,An extensible library of tools that extract metadata from scientific files,False,2018-12-04T18:43:28.000Z,2023-03-21T17:21:43.000Z,2023-01-09T21:45:36.000Z,,7554.0,14.0,Python,True,True,True,3,,13.0,master,5.0,160403160,,Apache-2.0,False,6,README.md,,,LICENSE,,,,,2021-09-01T17:12:34.140Z,6,GitHub,,,git,,160403160,,,6,[],,,[],
JuDFTteam/aiida-kkr,AiiDA plugin of the high-performance density functional theory code JuKKR (www.judft.de) for high-throughput electronic structure calculations.,False,2017-10-25T16:27:56.000Z,2024-12-19T10:13:51.127Z,2024-12-10T21:34:29.000Z,https://aiida-kkr.readthedocs.io,380114.0,14.0,Python,True,False,True,10,,35.0,master,5.0,108296038,,MIT,False,15,README.md,,CONTRIBUTING.md,LICENSE.txt,,,,,2024-12-05T13:01:06.501Z,7,GitHub,,aiida-kkr,git,,108296038,,,15,"['ab-initio', 'aiida', 'all-electron', 'band-structure', 'coherent-potential-approximation', 'computational-materials-science', 'condensed-matter-physics', 'defects', 'density-functional-theory', 'electronic-structure', 'forschungszentrum-juelich', 'full-potential', 'greens-functions', 'high-throughput', 'judft', 'kkr', 'magnetism', 'multiple-scattering', 'superconductivity', 'workflow']",,https://github.com/JuDFTteam/aiida-kkr/blob/master/CONTRIBUTING.md,[],
kumagai-group/pydefect_2d,,False,2024-03-27T23:28:00.485Z,2025-08-26T17:58:59.134Z,2025-08-26T05:38:51.000Z,,11339.0,14.0,Python,True,True,False,3,,0.0,main,2.0,642179128,,,False,1,README.md,,,,,,,,2025-05-19T06:35:03.514Z,4,GitHub,,pydefect_2d,git,,642179128,,,1,[],,,[],
maituoy/BayesianOpt4dftu,,False,2020-02-22T20:39:17.000Z,2022-02-21T16:13:01.844Z,2022-02-18T17:00:41.000Z,,170898.0,13.0,Python,True,True,False,12,,10.0,master,1.0,242408468,,MIT,False,3,README.md,,,LICENSE,,,,,2022-02-21T16:13:01.842Z,5,GitHub,,,git,,242408468,,,3,[],,,[],
pyiron/ironflow,Prototype of a graphical user interface for pyiron (unstable),False,2022-04-26T14:03:09.000Z,2024-05-22T20:30:31.383Z,2024-05-22T20:28:40.000Z,https://mybinder.org/v2/gh/pyiron/ironflow/HEAD?labpath=example.ipynb,16391.0,13.0,Python,True,True,False,1,,24.0,main,5.0,485811757,,BSD-3-Clause,False,5,README.md,,CONTRIBUTING.rst,LICENSE,CODE_OF_CONDUCT.md,,,,2024-05-22T20:30:31.382Z,6,GitHub,,ironflow,git,,485811757,,,5,[],,,[],
CitrineInformatics/gemd-python,Python binding for Citrine's GEMD data model,False,2019-09-09T11:00:22.000Z,2025-06-27T21:51:02.962Z,2025-06-27T21:50:19.000Z,,8402.0,13.0,Python,True,False,True,6,,1.0,main,31.0,207288818,,Apache-2.0,False,15,README.md,,CONTRIBUTING.md,LICENSE,,,,,2025-06-27T21:51:02.961Z,6,GitHub,,gemd-python,git,,207288818,,,15,[],,https://github.com/CitrineInformatics/gemd-python/blob/main/CONTRIBUTING.md,[],
nmdl-mizo/interface_master,A python package building CSL or approximate CSL interfaces of any two lattices and computing cell of non-identical displacement (CNID).,False,2021-06-21T05:42:05.000Z,2025-03-12T10:23:28.145Z,2025-03-12T09:47:04.000Z,,11912.0,13.0,Jupyter Notebook,True,True,True,4,,7.0,develop,1.0,378818947,,MIT,False,5,README.md,,,LICENSE.md,,,,,2025-03-12T09:43:40.174Z,6,GitHub,,interface_master,git,,378818947,,,5,['python'],,,[],
materialsproject/pymatgen-io-validation,"Comprehensive input/output validator. Made with the purpose of ensuring VASP calculations are compatible with Materials Project data, with possible future expansion to cover other DFT codes.",False,2023-10-11T21:53:26.000Z,2025-09-04T19:15:44.290Z,2025-09-03T17:52:15.000Z,,7059.0,13.0,Python,True,False,False,3,,2.0,main,4.0,703766483,,Other,False,3,README.md,,,LICENSE,,,,,2025-08-13T00:19:52.826Z,5,GitHub,,pymatgen-io-validation,git,,703766483,,,3,[],https://github.com/materialsproject/.github/blob/main/.github/code_of_conduct.md,,[],
kjappelbaum/mofchecker,Basic sanity checks for MOFs. ,False,2020-07-03T14:28:56.000Z,2022-11-17T09:39:02.000Z,2022-12-15T14:47:56.000Z,https://mofchecker.readthedocs.io/en/latest/background.html,9251.0,12.0,Python,True,True,False,3,,31.0,main,3.0,276919022,,MIT,False,7,README.md,CHANGELOG.md,CONTRIBUTING.rst,LICENSE,CODE_OF_CONDUCT.md,,,,2022-12-15T14:49:07.435Z,6,GitHub,,,git,,276919022,,,7,"['mofs', 'oms', 'sanity-checks']",,,[],
tcnicholas/chic,Coarse-graining Hybrid and Inorganic Crystals (CHIC) is a Python package for automating the cleaning-up and coarse-graining of crystals and analysing crystal databases using machine-learning.,False,2021-09-03T14:31:43.000Z,2024-11-18T15:25:19.519Z,2024-11-18T15:10:12.000Z,https://tcnicholas.github.io/chic/,41614.0,12.0,Python,True,True,True,0,,0.0,main,1.0,402798512,,GPL-3.0,False,1,README.md,,,LICENSE,,,,,2024-11-18T15:25:19.510Z,6,GitHub,,chic,git,,402798512,,,1,[],,,[],
jcwang587/xdatbus,A Python package for enhancing VASP AIMD simulations and analysis,False,2023-02-09T09:13:29.000Z,2025-03-25T20:30:19.440Z,2025-03-22T19:18:04.000Z,https://xdatbus.readthedocs.io/en/latest/,43972.0,12.0,Python,True,True,False,2,,2.0,main,2.0,599499649,,MIT,False,2,README.md,,,LICENSE,CODE_OF_CONDUCT.md,,,,2025-01-17T04:50:46.656Z,6,GitHub,,xdatbus,git,,599499649,,,2,"['aimd', 'metadynamics', 'python', 'vasp']",https://github.com/jcwang587/xdatbus/blob/main/CODE_OF_CONDUCT.md,,[],
Rasic2/gvasp,A quick post-process for resolve or assistant the VASP calculations,False,2019-11-18T08:48:38.000Z,2025-09-05T07:47:07.408Z,2025-09-05T07:45:04.000Z,https://qvasp.readthedocs.io/en/latest/,55990.0,12.0,Python,True,True,False,3,,0.0,master,2.0,222402887,,GPL-3.0,False,5,README.md,CHANGELOG.md,,LICENSE,,,,,2025-09-05T07:47:07.407Z,7,GitHub,,gvasp,git,,222402887,,,5,[],,,[],
bjmorgan/bsym,A Basic Symmetry Module (Python),False,2014-04-29T14:37:25.000Z,2021-03-26T19:50:10.626Z,2021-03-26T19:49:46.000Z,,5338.0,11.0,Python,True,True,False,5,,0.0,master,1.0,19279643,,MIT,False,2,README.md,,,LICENSE,,,,,2021-03-26T19:50:10.619Z,5,GitHub,,,git,,19279643,,,2,[],,,[],
nanotech-empa/aiida-gaussian,AiiDA plugin for Gaussian quantum chemistry software,False,2020-02-18T14:38:59.000Z,2024-09-25T09:07:32.621Z,2024-09-25T09:05:38.000Z,,263.0,11.0,Python,True,True,False,2,,4.0,master,3.0,241384761,,MIT,False,7,README.md,,,LICENSE,,,,,2024-09-25T09:07:32.620Z,5,GitHub,,aiida-gaussian,git,,241384761,,,7,[],,,[],
mortengjerding/asr,,False,2019-03-18T11:42:21.976Z,2020-04-08T11:03:34.438Z,,,,11.0,,True,True,,2,,14.0,master,,11372304,,,False,0,README.md,,,LICENSE,,,,,2020-04-08T11:03:34.435Z,3,GitLab,,,git,,11372304,t,,0,[],,,[],
a-ws-m/unlockNN,A Python package for adding uncertainties to neural network models of chemical systems.,False,2020-07-01T16:50:18.000Z,2022-07-05T18:25:23.098Z,2022-07-05T18:24:15.000Z,,134194.0,11.0,PureBasic,True,True,False,3,,7.0,master,5.0,276433339,,MIT,False,2,README.md,,,LICENSE,,,,,2022-07-05T18:25:23.095Z,4,GitHub,,,git,,276433339,,,2,"['chemistry', 'keras', 'machine-learning', 'materials-science', 'python', 'tensorflow-probability']",,,[],
shry-project/SHRY,SHRY (Suite for High-throughput generation of models with atomic substitutions implemented by python) is a tool for generating unique ordered structures corresponding to a given disordered structure.,False,2025-03-06T08:26:51.397Z,2025-03-06T11:17:12.664Z,2025-03-06T08:38:52.000Z,,3585.0,10.0,Python,True,True,False,1,,0.0,main,1.0,713836400,,MIT,False,1,README.rst,,,LICENSE,,,,,2025-03-06T11:17:12.663Z,3,GitHub,,SHRY,git,,713836400,,,1,"['ab-initio-simulations', 'electronic-structure', 'high-entropy-alloys', 'high-performance-computing']",,,[],
